"term_gpa","TotalSleepTime","cum_gpa","Zterm_units_ZofZ","study","high_gpa"
3.49,7.28214285666667,3.57,-0.479500856,"3","1"
3.59,6.48154761833333,3.240625,-0.479500856,"3","1"
3.7,7.148039215,3.665862069,0.041207105,"3","1"
3.13,6.31521739166667,3.32037037,-0.479500856,"3","1"
3.8,6.61078431333333,3.78,1.082623027,"3","1"
3.08,7.97533333333333,2.830833333,1.603330987,"3","1"
3.53,6.95384615333333,3.315,0.041207105,"3","1"
3.3,6.17797619,3.653703704,-0.479500856,"3","1"
3.97,6.96474359,4,-0.479500856,"3","1"
3.27,6.08333333333333,3.25,0.041207105,"3","1"
2.99,7.53271605,3.215,1.603330987,"3","0"
3.37,7.215384615,3.390357143,0.561915066,"3","1"
3.94,6.479012345,3.958857143,-0.479500856,"3","1"
3,6.12407407333333,2.9,0.041207105,"3","1"
3.4,7.66011904833333,2.998,0.041207105,"3","1"
3.86,6.85833333333333,3.724117647,1.603330987,"3","1"
3.93,6.892,3.946428571,0.041207105,"3","1"
2.94,6.71543209833333,3.492258065,-0.479500856,"3","0"
3.3,5.88024691333333,3.657272727,-1.000208817,"3","1"
3.83,5.82619047666667,3.635,1.603330987,"3","1"
2.67,6.13712121166667,2.83,0.041207105,"3","0"
3.8,6.84285714333333,3.862592593,0.041207105,"3","1"
3.09,7.49266666666667,3.611,-0.479500856,"3","1"
2.77,6.54642857166667,3.385,-0.479500856,"3","0"
3,6.55705128166667,3.052727273,0.041207105,"3","1"
3.28,6.37916666666667,3.154482759,-1.520916778,"3","1"
3.14,6.15448718,3.139259259,-0.479500856,"3","1"
2.86,6.532098765,2.799130435,0.561915066,"3","0"
3.17,6.651785715,3.680625,0.041207105,"3","1"
3.52,4.97222222166667,3.88,1.603330987,"3","1"
3.63,6.78974359,3.601034483,0.561915066,"3","1"
3.91,7.27196969666667,3.948275862,1.603330987,"3","1"
3.01,6.72469135833333,3.363703704,0.041207105,"3","1"
3.49,7.25576923,3.625454545,-1.000208817,"3","1"
3.5,5.66590909166667,3.4,-0.842877075,"1","1"
2.4,6.905555555,2.53,-0.127051324,"1","0"
3.37,6.35357142833333,2.79,0.11155726,"1","1"
3.39,5.84492753666667,3.29,0.11155726,"1","1"
3.38,5.96212121166667,3.59,0.11155726,"1","1"
3.46,6.27643678166667,3.48,-0.365659907,"1","1"
3.57,6.86388888833333,3.77,-0.365659907,"1","1"
3.58,7.03563218333333,3.22,1.065991594,"1","1"
3.81,7.08908046,3.74,0.827383011,"1","1"
3.61,6.034920635,3.8,1.781817345,"1","1"
3.59,5.66666666666667,3.56,-0.604268491,"1","1"
3.05,4.39215686333333,3.21,-0.842877075,"1","1"
2.18,4.72222222166667,3.6,-0.365659907,"1","0"
3.78,6.80535714333333,2.86,-0.604268491,"1","1"
4,6.862068965,4,2.73625168,"1","1"
4,6.554761905,4,0.11155726,"1","1"
3.42,7.18908046,4,1.543208762,"1","1"
4,7.129761905,4,-2.035919993,"1","1"
3.81,6.562,3.78,-0.604268491,"1","1"
4,6.63271605,3.56,-0.842877075,"1","1"
4,7.11842105333333,3.8,0.11155726,"1","1"
3.79,7.02456140333333,3.77,-0.365659907,"1","1"
4,6.47348484833333,4,1.304600178,"1","1"
2.79,7.14166666666667,2.36,-0.365659907,"1","0"
2.47,7.62283950666667,1.7,-1.320094242,"1","0"
3.57,6.75641025666667,3.52,0.588774427,"1","1"
3.53,6.88511904833333,3,-0.842877075,"1","1"
3.9,7.42066666666667,3.196295815,-3.982520982,"2","1"
4,6.03015873,3.9230765,0.373361342,"2","1"
3.56923,6.175,3.555172069,-0.497815123,"2","1"
3.533333,6.74666666666667,3.592856464,0.373361342,"2","1"
3.838461,7.320238095,3.744827034,-0.497815123,"2","1"
3.9,7.22083333333333,3.883333,-1.80457982,"2","1"
3.608333,6.18511904833333,3.466666182,-0.933403355,"2","1"
3.766666,5.81604938333333,3.96,0.373361342,"2","1"
3.566666,5.623214285,3.8666665,0.373361342,"2","1"
3.563636,6.67083333333333,3.396551241,-1.368991587,"2","1"
2.477777,6.65873015833333,3.082757931,1.680126039,"2","0"
3.038461,7.3125,3.2,-0.497815123,"2","1"
3.335714,7.23888888833333,3.686206552,-0.06222689,"2","1"
3.233333,7.27307692333333,3.54074037,0.373361342,"2","1"
3.9,8.28076923,3.9041665,-1.80457982,"2","1"
3.533333,6.49567901166667,3.693102931,0.373361342,"2","1"
3.366666,6.66730769166667,3.590624313,0.373361342,"2","1"
3.464285,6.8,2.611110667,-0.06222689,"2","1"
3.866666,6.434615385,3.7730765,0.373361342,"2","1"
3.944444,7.36547619,3.803333,1.680126039,"2","1"
3.916666,7.48666666666667,3.986842105,1.680126039,"2","1"
3.633333,7.06153846166667,3.239130435,0.373361342,"2","1"
3.441176,5.77857142833333,3.609374969,1.244537807,"2","1"
2.91875,4.79761904833333,3.421428286,0.808949574,"2","0"
3.442857,7.59333333333333,3.709090818,-0.06222689,"2","1"
2.894444,5.49019607833333,3.269999433,1.680126039,"2","0"
3.266666,6.144444445,2.8999996,0.373361342,"2","1"
4,5.89423077,3.880645161,0.373361342,"2","1"
3.666666,6.479761905,3.8799996,0.373361342,"2","1"
3.733333,8.09761904833333,3.5299995,0.373361342,"2","1"
2.933333,6.73333333333333,2.983333,0.373361342,"2","0"
3.866666,6.55833333333333,3.886206586,0.373361342,"2","1"
3.766666,7.92160493833333,3.7999995,0.373361342,"2","1"
3.52,6.39940476166667,2.92,0.041207105,"3","1"
3.63,7.00493827166667,3.335,0.041207105,"3","1"
3.67,6.97559523833333,3.816896552,0.041207105,"3","1"
3,6.698,2.827857143,-3.08304066,"3","1"
3.9,6.10641025666667,3.315,0.561915066,"3","1"
3.28,7.77727272666667,3.428333333,-1.000208817,"3","1"
3.8,8.88690476166667,3.938,0.041207105,"3","1"
3.84,6.054761905,3.267272727,0.041207105,"3","1"
3.59,8.29814814833333,3.33,-0.479500856,"3","1"
3.43,6.70535714333333,3.75862069,0.041207105,"3","1"
3.83,7.22133333333333,2.498235294,-1.000208817,"3","1"
3.91,6.68395061666667,3.788181818,0.561915066,"3","1"
3.77,5.98988095166667,3.720645161,1.603330987,"3","1"
3.46,8.48141025666667,3.546363636,1.082623027,"3","1"
1.96,5.60617284,2.538947368,-1.520916778,"3","0"
